id,incident_date,title,area,severity,environment,detection,detection_method,detection_evidence,era,status,introduced_sha,introduced_date,prod_exposure_start,detected_date,fix_shas,fix_date,fix_reached_main_date,fix_path,days_live_in_prod,confidence,env_confidence,environment_basis,source,evidence
BUG-0133,2026-05-09,Reconciled events landed with empty job_date,sheets-export,wrong-data,prod,other,unknown,,staging-first,fixed,9ded4e9,2026-05-01,2026-05-01,2026-05-09,41f226a,2026-05-09,2026-05-09,promotion,8,high,high,"introducing commit on main 2026-05-01, fix on main 2026-05-09",commit,41f226a: 'reconciled rows previously landed with an empty job_date column'
BUG-0134,2026-05-09,Shared process-wide Sheets service caused SSL BAD_RECORD_MAC and heap-corruption worker crashes,sheets-export,degraded,prod,other,unknown,,staging-first,fixed,823835c,2026-05-06,2026-05-06,2026-05-09,0943759,2026-05-09,2026-05-09,promotion,3,high,high,"introducing commit on main 2026-05-06, fix on main 2026-05-09",commit,0943759: 'worker crashed with malloc(): unsorted double linked list corrupted on Render' || 38e2792 promote: 'Per-thread sheets svc replaces the process-wide cached svc that was causing SSL BAD_RECORD_MAC + heap-corruption worker crashes (malloc(): unsorted double linked list corrupted on Render)'
BUG-0135,2026-05-09,Stale Report saved banner shown with error after failed resubmit,job-report,cosmetic,prod,user-reported,crew-reported,Two fixes for confusing UI seen in the field.,staging-first,fixed,,,,2026-05-09,5c3a778,2026-05-09,2026-05-09,promotion,,med,high,crew hit it in the field (crews run main),commit,"5c3a778: 'if the new POST then fails, the success banner kept showing alongside the error banner - reads as nonsense and the crew can't tell what's saved'"
BUG-0136,2026-05-10,"Recurring OOMs from in-memory uploads, no body cap, uncapped map query",perf-oom,perf,prod,other,unknown,,staging-first,fixed,1c1ec98,2026-03-26,2026-03-26,2026-05-10,c0da460,2026-05-10,2026-05-10,promotion,45,med,low,"auto-blame 1c1ec98 (8/27 removed lines): on main 2026-03-26, fix on main 2026-05-10",commit,"c0da460: 'Three layers so recurring OOMs stop coming back' - BodySizeLimitMiddleware 413 >100MB, streamed 8MB Drive chunks, events_today_map capped at 2000 rows"
BUG-0137,2026-05-10,Unbounded sheets_export lock dicts leaked memory,perf-oom,perf,prod,other,unknown,,staging-first,fixed,1c1ec98,2026-03-26,2026-03-26,2026-05-10,c0da460,2026-05-10,2026-05-10,promotion,45,high,low,"auto-blame 1c1ec98 (8/27 removed lines): on main 2026-03-26, fix on main 2026-05-10",commit,c0da460: 'Was an unbounded slow leak across every unique event_id ever edited.' Now bounded at 4096
BUG-0138,2026-05-14,Apps Script could not match DVIR/RODS for jobs without Events rows,sheets-export,wrong-data,staging,other,unknown,,staging-first,fixed,69659e7,2026-05-14,,2026-05-14,55b637c,2026-05-14,2026-05-15,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,55b637c: 'When a job has no Events/Materials rows ... dateSet was empty so DVIRs/RODS/PriorOnDuty couldn't match'
BUG-0139,2026-05-14,Apps Script picked wrong most-recent JobReport row,sheets-export,wrong-data,staging,other,unknown,,staging-first,fixed,69659e7,2026-05-14,,2026-05-14,55b637c,2026-05-14,2026-05-15,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"55b637c: 'JobReport ""most recent"" sort used String(Date).localeCompare, which compares ""Tue May 13 ..."" vs ""Wed May 14 ..."" by day-name first and picked the wrong row'"
BUG-0140,2026-05-15,DVIR prior tile showed repaired defects as open,dvir,wrong-data,prod,other,unknown,,staging-first,fixed,58baed9,2026-04-16,2026-04-18,2026-05-15,9822a52,2026-05-15,2026-05-15,promotion,27,high,med,"auto-blame 58baed9 (22/25 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,9822a52: 'rendered a defects-noted-but-mechanic-signed DVIR identically to an open defect ... a driver couldn't tell a repaired-and-cleared truck from one with an unresolved problem'
BUG-0141,2026-05-15,Event sync dropped the batch on transient server DB error,offline-sync,data-loss,prod,other,dev-self-found,fix: close data-loss and resilience gaps found in pre-promotion audit,staging-first,fixed,93e26b3,2026-04-18,2026-04-18,2026-05-15,86fea33,2026-05-15,2026-05-15,promotion,27,high,low,"auto-blame 93e26b3 (11/29 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,86fea33: 'a transient server DB error no longer silently loses a logged arrive/start/finish event'
BUG-0142,2026-05-15,IndexedDB version mismatch broke job-photo capture,photos-incidents,blocked-workflow,staging,other,dev-self-found,"b229821: 'plus the audit fixes (IndexedDB version alignment, ...)'",staging-first,fixed,f0fe79e,2026-05-14,,2026-05-15,9f262ba,2026-05-15,2026-05-15,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,9f262ba: 'every later photoStore open() with version 1 failed with a VersionError - silently breaking job-photo capture on any device that had visited the Reimbursement screen'
BUG-0143,2026-05-15,Offline queues dropped work on 401/403,offline-sync,data-loss,prod,other,dev-self-found,found in pre-promotion audit,staging-first,fixed,93e26b3,2026-04-18,2026-04-18,2026-05-15,86fea33,2026-05-15,2026-05-15,promotion,27,high,low,"auto-blame 93e26b3 (11/29 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,86fea33: 'An expired token is transient - queued field work stays for retry instead of being silently dropped'
BUG-0144,2026-05-15,Photo upload not idempotent; document upload orphaned Drive file,drive-upload,degraded,prod,other,dev-self-found,found in pre-promotion audit,staging-first,fixed,93e26b3,2026-04-18,2026-04-18,2026-05-15,86fea33,2026-05-15,2026-05-15,promotion,27,med,low,"auto-blame 93e26b3 (11/29 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,"86fea33: photo upload now pre-checks photo_id, catches non-IntegrityError DB failures as ok:false instead of a 500; document upload deletes orphaned Drive file on DB failure"
BUG-0145,2026-05-15,Raw-tuple IN clause failed on SQLite,sheets-export,degraded,prod,other,dev-self-found,found in pre-promotion audit,staging-first,fixed,93e26b3,2026-04-18,2026-04-18,2026-05-15,86fea33,2026-05-15,2026-05-15,promotion,27,low,low,"auto-blame 93e26b3 (11/29 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,"86fea33: 'use expanding bindparams, so the raw-tuple IN clause works on SQLite as well as Postgres'"
BUG-0146,2026-05-15,Render crash showed blank white screen (no error boundary),crew-ui,blocked-workflow,prod,other,dev-self-found,found in pre-promotion audit,staging-first,fixed,93e26b3,2026-04-18,2026-04-18,2026-05-15,86fea33,2026-05-15,2026-05-15,promotion,27,med,low,"auto-blame 93e26b3 (11/29 removed lines): on main 2026-04-18, fix on main 2026-05-15",commit,86fea33: 'A render crash now shows a recoverable screen ... instead of a blank white screen that strands a field device'
BUG-0147,2026-06-10,Adding calendar.events scope broke token refresh and all sheet exports,sheets-export,data-loss,staging,other,unknown,,staging-first,fixed,085faeb,2026-06-10,,2026-06-10,674f40e,2026-06-10,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"674f40e: 'Adding calendar.events to SCOPES broke every background sheets export in production ... silent drift on availability, events, materials, everything that exports to a sheet'"
BUG-0148,2026-06-10,Availability picker landed returning users on a past window,availability,blocked-workflow,staging,user-reported,admin-or-owner-reported,"""availability is set to the beginning of this year, I can't submit the next 2 weeks.""",staging-first,fixed,484ec82,2026-06-10,,2026-06-10,da358f8,2026-06-10,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,da358f8: 'The initializer was honoring horizon+1 even when that put the window weeks behind today.'
BUG-0149,2026-06-10,Availability quick-fill button color driven by first cell,availability,cosmetic,staging,user-reported,admin-or-owner-reported,"the ""buttons don't change color""",staging-first,fixed,484ec82,2026-06-10,,2026-06-10,708618d,2026-06-10,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,708618d: 'tapping a single calendar cell shifted the quick-fill button's color (wrong direction)'
BUG-0150,2026-06-10,Availability quick-fill persisted only the last day,availability,wrong-data,staging,user-reported,admin-or-owner-reported,Three things from the second-round availability testing,staging-first,fixed,484ec82,2026-06-10,,2026-06-10,708618d,2026-06-10,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"708618d: 'each call read the same closure-stale draft and overwrote the previous call's day, so only the last matching day actually persisted'"
BUG-0151,2026-06-10,Availability selections appeared to clear after each tap,availability,blocked-workflow,staging,user-reported,admin-or-owner-reported,rework availability UX after first-pass testing,staging-first,fixed,484ec82,2026-06-10,,2026-06-10,edf2f0e,2026-06-10,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"edf2f0e: 'made selections feel like they ""cleared"" after each tap - in reality the active window was advancing to horizon+1 the moment a submit succeeded'"
BUG-0152,2026-06-10,Crew Resources wired to write to the Jobs calendar,availability,wrong-data,staging,other,unknown,,staging-first,fixed,085faeb,2026-06-10,,2026-06-10,27661e4,2026-06-10,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"27661e4: 'the initial cut had it as the destination for the Crew Resources event, which would have meant writing to the Jobs calendar'"
BUG-0153,2026-06-10,Events missing from Sheets when export thread died,sheets-export,data-loss,unknown,other,dev-self-found,"Root cause of the recurring ""Sheet drift - events: N events missing"" WARN",staging-first,fixed,,,,2026-06-10,ae9d6d8,2026-06-10,2026-06-11,promotion,,med,,introducing commit not identified,commit,ae9d6d8: 'That thread can die mid-flight ... leaving the row in events but never landing in sheet_event_exports'
BUG-0154,2026-06-10,Logged-out crew could not use app at no-signal jobsites,auth,blocked-workflow,prod,other,unknown,,staging-first,fixed,a5a61bf,2026-02-19,2026-02-19,2026-06-10,976d764,2026-06-10,2026-06-11,promotion,112,med,low,"auto-blame a5a61bf (6/13 removed lines): on main 2026-02-19, fix on main 2026-06-11",commit,976d764: 'The app was unusable for a crew member who arrived at a no-signal jobsite already logged out'
BUG-0155,2026-06-10,Pending expense rows missing expense_date broke build,deploy-infra,blocked-workflow,staging,other,dev-self-found,which Vercel's tsc -b caught (local tsc --noEmit let it through),staging-first,fixed,8b4ed9f,2026-06-10,,2026-06-10,95b46f8,2026-06-10,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,95b46f8: 'map() over the queue emitted expense rows with expense_date: undefined'
BUG-0156,2026-06-11,Admin create_user did not normalize email,auth,wrong-data,prod,other,dev-self-found,Two CRITICAL findings from the second pre-promotion vetting pass,staging-first,fixed,d80df10,2026-02-17,2026-02-17,2026-06-11,bcdcd20,2026-06-11,2026-06-11,promotion,114,high,med,"auto-blame d80df10 (3/4 removed lines): on main 2026-02-17, fix on main 2026-06-11",commit,"bcdcd20: 'An admin-created ""Foo@Bar.com"" stored mixed-case while the rest of the system reads lowercase, breaking Crew Resources resolution'"
BUG-0157,2026-06-11,Admin month Jobs-calendar fetch unpaginated,availability,wrong-data,staging,other,dev-self-found,Surfaced by the third-pass pre-promotion audit.,staging-first,fixed,ec0727c,2026-06-11,,2026-06-11,9f50224,2026-06-11,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,9f50224: 'a busy month exceeding ~2000 events would silently drop the tail of the month from the scheduled overlay'
BUG-0158,2026-06-11,Conditional availability amber unreadable on Light theme,availability,cosmetic,staging,other,unknown,,staging-first,fixed,484ec82,2026-06-10,,2026-06-11,560eb76,2026-06-11,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"560eb76: 'on the Light preset the same color washed out against the white card background and the ""Conditional"" label and cell text were hard to read'"
BUG-0159,2026-06-11,Crew Resources scheduled_count always 0,availability,wrong-data,staging,other,dev-self-found,Two CRITICAL findings from the second pre-promotion vetting pass,staging-first,fixed,fa10e52,2026-06-11,,2026-06-11,bcdcd20,2026-06-11,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"bcdcd20: 'Admin's Generate / refresh response showed every day with scheduled_count: 0, even when crew were actually on jobs'"
BUG-0160,2026-06-11,Employees tab tag picker stale until reload,admin-ui,cosmetic,staging,other,dev-self-found,pre-promotion vetting + deep-dive audit,staging-first,fixed,865d6b3,2026-06-10,,2026-06-11,ee3333a,2026-06-11,2026-06-11,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,ee3333a: 'tags added or renamed in Settings (or by another admin) weren't visible until reload'
BUG-0161,2026-06-11,Logout left previous crew member's queues and stores,auth,wrong-data,prod,other,dev-self-found,pre-promotion vetting + deep-dive audit,staging-first,fixed,42e8e99,2026-05-17,2026-05-17,2026-06-11,ee3333a,2026-06-11,2026-06-11,promotion,25,high,low,"auto-blame 42e8e99 (4/19 removed lines): on main 2026-05-17, fix on main 2026-06-11",commit,ee3333a: 'Cross-user state bleed on a shared device ... The next crew member to log in inherited all of it.'
BUG-0162,2026-06-11,New crew member could not submit first availability window,availability,blocked-workflow,staging,other,unknown,,staging-first,fixed,edf2f0e,2026-06-10,,2026-06-11,a388a13 15639fd,2026-06-11,2026-06-11,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"a388a13: 'every cell of their first-ever window was locked, with no way to fill in the very submission that would establish the horizon'; 15639fd: Submit gate still used raw lock rule"
BUG-0163,2026-06-11,PII written to Render logs,auth,degraded,prod,other,dev-self-found,Five targeted fixes from the V1.5 pre-promotion vetting + deep-dive audit,staging-first,fixed,42e8e99,2026-05-17,2026-05-17,2026-06-11,ee3333a,2026-06-11,2026-06-11,promotion,25,high,low,"auto-blame 42e8e99 (4/19 removed lines): on main 2026-05-17, fix on main 2026-06-11",commit,ee3333a: replaced email with user id in [forgot-password] logs; 'Drop the line that logged the reset link itself'
BUG-0164,2026-06-11,UpdateBanner service-worker listeners leaked,perf-oom,perf,prod,other,dev-self-found,pre-promotion vetting + deep-dive audit,staging-first,fixed,42e8e99,2026-05-17,2026-05-17,2026-06-11,ee3333a,2026-06-11,2026-06-11,promotion,25,high,high,"introducing commit on main 2026-05-17, fix on main 2026-06-11",commit,ee3333a: 'statechange and updatefound listeners were never removed; each install cycle accumulated one more in a long-lived PWA session'
BUG-0165,2026-06-11,Workspace invitees flagged as unrecognized in Crew Resources,availability,cosmetic,staging,other,unknown,,staging-first,fixed,fa10e52,2026-06-11,,2026-06-11,567ce5b,2026-06-11,2026-06-11,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,567ce5b: 'Workspace / org-managed inboxes ... were ending up in the UNRECOGNIZED INVITEES section of every Crew Resources description'
BUG-0166,2026-06-16,Month schedule view too narrow on wide screens,admin-ui,cosmetic,prod,other,unknown,,staging-first,fixed,7ec3570,2026-06-11,2026-06-11,,5f554a8,2026-06-16,2026-06-16,promotion,5,low,med,"auto-blame 7ec3570 (7/8 removed lines): on main 2026-06-11, fix on main 2026-06-16",commit,5f554a8: month view was forced into a too-narrow slice and required horizontal scroll even though plenty of pixels were free
BUG-0167,2026-06-16,"OAuth token refresh dropped calendar.events scope, Crew Resources 403",auth,blocked-workflow,prod,user-reported,admin-or-owner-reported,f37758f: When admin reports Crew Resources events aren't appearing on the calendar,staging-first,fixed,674f40e,2026-06-10,2026-06-11,2026-06-16,dffc522,2026-06-17,2026-06-17,promotion,6,med,high,"introducing commit on main 2026-06-11, fix on main 2026-06-17",commit,dffc522: Crew Resources patches were 403'ing with insufficientPermissions an hour after each token paste; every refresh sent scope=narrower
BUG-0168,2026-06-16,Photo Save stuck on Saving when resizeImage threw,photos-incidents,blocked-workflow,prod,other,unknown,,staging-first,fixed,66a9f80,2026-04-16,2026-04-16,2026-06-16,5f9c06b,2026-06-16,2026-06-16,promotion,61,high,low,"auto-blame 66a9f80 (10/31 removed lines): on main 2026-04-16, fix on main 2026-06-16",commit,"5f9c06b: 'a synchronous throw inside onload (e.g. getContext(""2d"") returning null on a low-RAM phone) had no path back to the caller'"
BUG-0169,2026-06-16,Photo upload errors surfaced only as silent HTTP 401,photos-incidents,degraded,prod,other,unknown,,staging-first,fixed,66a9f80,2026-04-16,2026-04-16,2026-06-16,5f9c06b,2026-06-16,2026-06-16,promotion,61,med,low,"auto-blame 66a9f80 (10/31 removed lines): on main 2026-04-16, fix on main 2026-06-16",commit,"5f9c06b: 'replace the silent ""HTTP 401"" string with explicit handling: clear the token (matches apiFetch), and decode 401/403/413/5xx into actionable messages'"
BUG-0170,2026-06-16,Scheduling Notes offline edits lost on reload,availability,data-loss,staging,other,dev-self-found,Two gaps caught in the pre-promotion audit,staging-first,fixed,b5aa351,2026-06-16,,2026-06-16,52c652d,2026-06-16,2026-06-16,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,52c652d: a crew member typing a note while offline who reloaded the app before reconnecting watched the unsaved edit vanish
BUG-0171,2026-06-16,Scheduling Notes save failures silent,availability,degraded,staging,other,dev-self-found,Two gaps caught in the pre-promotion audit,staging-first,fixed,b5aa351,2026-06-16,,2026-06-16,52c652d,2026-06-16,2026-06-16,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,52c652d: a 5xx walked the status pill from Saving back to idle with no message - the user thought it saved
BUG-0172,2026-06-29,Availability horizon inflated by far-future absence,availability,blocked-workflow,prod,other,unknown,,staging-first,fixed,0a03d0f,2026-06-11,2026-06-11,,11f0829,2026-06-29,2026-06-29,promotion,18,high,high,"introducing commit on main 2026-06-11, fix on main 2026-06-29",commit,11f0829: the rolling 2-week submission picker stayed hidden and the crew member could not submit their next two weeks
BUG-0173,2026-06-29,Availability picker stuck on stale cached horizon,availability,blocked-workflow,unknown,other,unknown,,staging-first,fixed,,,,,fee2a02,2026-06-29,2026-06-29,promotion,,high,,introducing commit not identified,commit,fee2a02: a device holding a stale cache stayed stuck on the wrong window even after correct server state loaded. The picker appeared not to refresh.
BUG-0174,2026-07-01,PODS checklist defaulted to completed,rods-eld,wrong-data,staging,other,unknown,,staging-first,fixed,6069238,2026-07-01,,,86c4b25 d936550,2026-07-01,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"86c4b25: fixing the bug where PODS defaulted to ""completed"" from any prior statement; d936550: PODS ""defaulting to completed"" hardened"
BUG-0175,2026-07-01,Stale local report/bill draft hid newer server version,offline-sync,wrong-data,staging,other,dev-self-found,Cross-device continuity pass ... Audit confirmed the rest already hydrate,staging-first,fixed,8d693bb,2026-07-01,,2026-07-01,8d29583,2026-07-01,2026-07-03,staging-only-fix,,med,low,auto-blame 8d693bb (15/37 removed lines): bug and fix reached main together or not at all,commit,8d29583: a report/bill updated on another device is no longer hidden by a stale local draft
BUG-0176,2026-07-02,Admin month view employee tags low contrast,admin-ui,cosmetic,prod,other,unknown,,staging-first,fixed,7ec3570,2026-06-11,2026-06-11,,9456fed,2026-07-02,2026-07-03,promotion,22,low,med,"auto-blame 7ec3570 (13/22 removed lines): on main 2026-06-11, fix on main 2026-07-03",commit,9456fed: Employee tags use theme-text labels + brand border so they're readable on light themes (were low-contrast brand-on-tint)
BUG-0177,2026-07-02,DUTY events offered as employee-hours time options,job-report,wrong-data,staging,other,unknown,,staging-first,fixed,6069238,2026-07-01,,,6f24eee,2026-07-02,2026-07-03,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,6f24eee: DUTY events no longer appear as employee-hours time options (drive time isn't hourly)
BUG-0178,2026-07-02,Drive-only LD day report could not submit,job-report,blocked-workflow,staging,other,unknown,,staging-first,fixed,9149352,2026-07-02,,,1e5860d,2026-07-02,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,1e5860d: Drive-only days no longer require Employee Hours (hidden) and send backend-valid placeholders for the skipped billing/eval fields so submit succeeds
BUG-0179,2026-07-02,RODS miles Auto failed without paid Maps key,rods-eld,degraded,staging,other,unknown,,staging-first,fixed,5dc3a83,2026-07-02,,,6f24eee,2026-07-02,2026-07-03,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,6f24eee: Miles Auto button now works without a paid key: falls back to free OSM geocoding + OSRM routing
BUG-0180,2026-07-02,Report BOL selector hid other in-progress BOLs,bol,degraded,staging,other,unknown,,staging-first,fixed,9288ae9,2026-07-01,,,9149352,2026-07-02,2026-07-03,staging-only-fix,,low,low,auto-blame 9288ae9 (23/101 removed lines): bug and fix reached main together or not at all,commit,9149352 (subject 'BOL fixes'): Report BOL selector now surfaces every in-progress BOL (removed the filter that hid other jobs'/reps' BOLs)
BUG-0181,2026-07-03,Added RODS drivers reset on leaving Report tab,rods-eld,data-loss,staging,other,unknown,,staging-first,fixed,925fb2b,2026-07-02,,,2b33ee7,2026-07-03,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,2b33ee7: The manual list in RodsSignoff was React-state-only and reset when JobReport unmounted
BUG-0182,2026-07-03,Admin month view columns stretched by tag chips,admin-ui,cosmetic,staging,user-reported,admin-or-owner-reported,0132a2e: 3-col grid tightens the header further per user feedback,staging-first,fixed,9456fed,2026-07-02,,2026-07-03,4e77fff 0132a2e 4e0eb3f bb4ba7b 1a88424,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,4e77fff: a Certified Driver tag on someone would force the whole column that wide; bb4ba7b: The previous flex-wrap + max-width tweak didn't help
BUG-0183,2026-07-03,Admin month view hover and desktop toggle illegible,admin-ui,cosmetic,staging,user-reported,admin-or-owner-reported,b9eceb4: Fixes the two user-flagged issues,staging-first,fixed,ee0eab3,2026-07-03,,2026-07-03,4a615f7 b9eceb4 13588da,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,b9eceb4: the transparent pill with muted border and muted text was invisible; HC conflict outline merged into yellow/blue
BUG-0184,2026-07-03,Admin topbar illegible over background photo,admin-ui,cosmetic,staging,other,unknown,,staging-first,fixed,5dc3a83,2026-07-02,,,0bdc511 13588da,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,0bdc511: the tab title text and back button went with it; 13588da: var(--text) dark on the light theme vanished into the dark backdrop
BUG-0185,2026-07-03,Alembic env.py missing 12+ model imports (first occurrence),deploy-infra,data-loss,staging,vet,vet,Vet pass: ... Post-vet-pass fixes for real issues found,staging-first,fixed,90af4be,2026-07-03,,2026-07-03,2d36cb1,2026-07-03,2026-07-03,staging-only-fix,,high,med,auto-blame 90af4be (7/13 removed lines): bug and fix reached main together or not at all,commit,2d36cb1: alembic revision --autogenerate would otherwise emit DROP TABLE ops for each unregistered table. Landmine disarmed.
BUG-0186,2026-07-03,Any PODS on trip treated as complete for every driver,rods-eld,wrong-data,staging,other,unknown,,staging-first,fixed,6069238,2026-07-01,,,af08026,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"af08026: the previous priorDone check treated any PODS on the trip as complete, which was misleading"
BUG-0187,2026-07-03,BOL defer buttons collapsed load/unload reasons,bol,wrong-data,staging,other,dev-self-found,Fixes surfaced by a post-batch audit,staging-first,fixed,c7dcd7e,2026-07-03,,2026-07-03,4a615f7,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,4a615f7: now persist DIFFERENT reasons (load | unload) instead of collapsing to a boolean
BUG-0188,2026-07-03,BOL false-positive signed status from client field,bol,wrong-data,staging,other,unknown,,staging-first,fixed,1a5be02,2026-07-01,,,aa19746,2026-07-03,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,aa19746: the row then had no signatures but bolStatus showed as signed. Status is now owned exclusively by PATCH /sign
BUG-0189,2026-07-03,BolInventoryTab first-save note never fired,bol,cosmetic,staging,other,dev-self-found,Fixes surfaced by a post-batch audit,staging-first,fixed,c7dcd7e,2026-07-03,,2026-07-03,4a615f7,2026-07-03,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,4a615f7: first-save detection was permanently false (the !draft.updated_at heuristic never fired)
BUG-0190,2026-07-03,"Break list keyed by index, times snap to wrong row",job-report,wrong-data,prod,vet,vet,Naive vet pass also flagged,staging-first,fixed,f6fea08,2026-05-08,2026-05-09,2026-07-03,9485aea,2026-07-03,2026-07-03,promotion,55,med,med,"auto-blame f6fea08 (2/3 removed lines): on main 2026-05-09, fix on main 2026-07-03",commit,9485aea: Removing a middle break shifted the remaining breaks' indices ... SlotPicker values could snap to the wrong row's state
BUG-0191,2026-07-03,Crew-transport lines wiped when report reopened on another device,job-report,data-loss,staging,other,dev-self-found,Fixes surfaced by a post-batch audit,staging-first,fixed,c7dcd7e,2026-07-03,,2026-07-03,4a615f7,2026-07-03,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,4a615f7: a re-open on another device wiped the auto-populated crew-transport line items because the flag defaulted false client-side
BUG-0192,2026-07-03,In-progress BOL dropdown selection did not stick,bol,blocked-workflow,staging,user-reported,admin-or-owner-reported,Batch 7: field-feedback fixes across LD Report / RODS / BOL / Invoice,staging-first,fixed,af08026,2026-07-03,,,c7dcd7e,2026-07-03,2026-07-03,staging-only-fix,,med,low,auto-blame af08026 (19/57 removed lines): bug and fix reached main together or not at all,commit,c7dcd7e: a local-only BOL (not yet synced) doesn't get wiped by fetchRemoteBol returning null
BUG-0193,2026-07-03,Invoice labor autopopulate produced sticky $0 lines,job-report,degraded,prod,other,unknown,,staging-first,fixed,4050dbb,2026-04-16,2026-04-18,,e02af71,2026-07-03,2026-07-03,promotion,76,med,low,"auto-blame 4050dbb (28/143 removed lines): on main 2026-04-18, fix on main 2026-07-03",commit,e02af71: removed the /api/bill/seed labor-line autopopulate that produced sticky $0 placeholders that wouldn't clear on edit
BUG-0194,2026-07-03,Light-theme low-contrast elements across crew UI,crew-ui,cosmetic,prod,other,dev-self-found,correlated low-contrast spots surfaced by a same-session audit,staging-first,fixed,8b4ed9f,2026-06-10,2026-06-11,2026-07-03,b9eceb4,2026-07-03,2026-07-03,promotion,22,med,low,"auto-blame 8b4ed9f (6/31 removed lines): on main 2026-06-11, fix on main 2026-07-03",commit,b9eceb4: active states ... were invisible on light theme
BUG-0195,2026-07-03,LongDistance back-to-menu left bol_id in URL,bol,degraded,staging,vet,vet,Vet pass: ... Post-vet-pass fixes for real issues found,staging-first,fixed,6ab185b,2026-07-03,,2026-07-03,2d36cb1,2026-07-03,2026-07-03,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,2d36cb1: a browser-back to the menu URL doesn't accidentally drop the crew back into the specific-BOL deep link
BUG-0196,2026-07-03,Manual job dedup case-sensitive on server,timeline-events,wrong-data,staging,vet,vet,Vet pass: ... Post-vet-pass fixes for real issues found,staging-first,fixed,90af4be,2026-07-03,,2026-07-03,2d36cb1,2026-07-03,2026-07-03,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"2d36cb1: ""The Job"" and ""the job"" produced different UUIDs and both slipped past the uniqueness check"
BUG-0197,2026-07-03,Manual job entries in sessionStorage lost on refresh,timeline-events,data-loss,staging,other,unknown,,staging-first,fixed,925fb2b,2026-07-02,,,90af4be,2026-07-03,2026-07-03,staging-only-fix,,low,low,auto-blame 925fb2b (13/53 removed lines): bug and fix reached main together or not at all,commit,90af4be: Local entries move from sessionStorage (lost on refresh) to localStorage
BUG-0198,2026-07-03,"Minor LD UI defects (Note button, stale section name)",crew-ui,cosmetic,staging,other,dev-self-found,Fixes surfaced by a post-batch audit,staging-first,fixed,c7dcd7e,2026-07-03,,2026-07-03,4a615f7,2026-07-03,2026-07-03,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,4a615f7: LD documents intro text refers to the current Driver PODS section name (was Driver & per-diem before the Batch 7 rename)
BUG-0199,2026-07-03,PODS Tap to file did not preseed target driver,rods-eld,degraded,staging,other,dev-self-found,Fixes surfaced by a post-batch audit,staging-first,fixed,c7dcd7e,2026-07-03,,2026-07-03,4a615f7,2026-07-03,2026-07-03,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,4a615f7: preseeds the target driver so the PODS form autofills the correct name when a passenger is filing on behalf
